                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 0.8424,                0.49737,                0.94398,                0.97891,                0.99107,                 0.9898,                0.79876,                  0.793,                0.38974,                0.91884,             0.00042792,             0.00042792,             0.00042792
                     58,                0.80612,                0.48014,                0.92937,                0.98205,                0.99259,                0.98747,                0.78605,                0.84598,                0.40338,                0.94396,             0.00042501,             0.00042501,             0.00042501
                     59,                0.81139,                0.47597,                0.93481,                0.98626,                0.99301,                0.98803,                0.80184,                0.79703,                0.38193,                0.92763,              0.0004221,              0.0004221,              0.0004221
                     60,                0.81239,                0.48064,                0.94026,                0.98326,                0.97829,                0.98952,                0.77312,                0.86835,                 0.4084,                0.92791,             0.00041919,             0.00041919,             0.00041919
                     61,                0.82595,                0.48191,                   0.94,                0.98464,                0.98954,                0.98781,                0.79362,                0.80755,                0.38389,                 0.9283,             0.00041627,             0.00041627,             0.00041627
                     62,                 0.8161,                0.48095,                0.92736,                0.98545,                0.98865,                0.98676,                0.79123,                0.81001,                0.37866,                 0.9275,             0.00041336,             0.00041336,             0.00041336
                     63,                0.80906,                0.46943,                0.93966,                0.97893,                0.99145,                0.98866,                0.79316,                0.80714,                0.38648,                0.93835,             0.00041045,             0.00041045,             0.00041045
                     64,                 0.7949,                0.47073,                0.93036,                0.98652,                0.98995,                0.98925,                0.79605,                0.80802,                  0.375,                0.92495,             0.00040754,             0.00040754,             0.00040754
                     65,                0.82052,                0.46186,                0.93803,                0.97994,                0.99027,                0.98648,                0.78193,                0.81936,                  0.389,                0.93342,             0.00040463,             0.00040463,             0.00040463
                     66,                 0.8092,                0.46366,                0.93034,                0.98639,                0.99125,                0.98649,                0.78443,                0.81362,                0.37784,                0.92484,             0.00040172,             0.00040172,             0.00040172
                     67,                0.78547,                0.44844,                0.93352,                0.98205,                0.98688,                0.98759,                0.79038,                0.80765,                0.37671,                0.93348,             0.00039881,             0.00039881,             0.00039881
                     68,                0.78913,                0.45372,                0.93086,                0.97978,                0.99121,                0.98415,                0.78387,                 0.8294,                0.38158,                0.92579,              0.0003959,              0.0003959,              0.0003959
                     69,                0.77191,                0.44407,                0.92241,                0.98564,                0.99064,                0.98579,                0.77899,                0.83045,                0.37954,                0.92755,             0.00039299,             0.00039299,             0.00039299
                     70,                0.78502,                0.45082,                 0.9297,                0.97834,                0.99092,                 0.9876,                0.79576,                0.77864,                0.37568,                0.92537,             0.00039008,             0.00039008,             0.00039008
                     71,                0.79543,                0.45505,                0.92765,                0.98671,                0.98798,                0.98715,                0.77272,                 0.8892,                0.39999,                0.96822,             0.00038717,             0.00038717,             0.00038717
                     72,                0.78807,                0.45559,                0.92736,                0.98353,                 0.9885,                 0.9885,                0.79234,                0.81159,                 0.3751,                0.93236,             0.00038426,             0.00038426,             0.00038426
                     73,                0.78483,                0.45338,                0.92838,                0.98289,                 0.9882,                 0.9853,                0.79449,                0.80655,                0.37938,                 0.9302,             0.00038135,             0.00038135,             0.00038135
                     74,                0.77998,                0.44432,                0.92289,                0.98369,                0.98816,                0.98703,                0.79379,                0.79283,                0.37764,                0.91936,             0.00037844,             0.00037844,             0.00037844
                     75,                0.77803,                0.43717,                0.92283,                 0.9831,                0.99105,                 0.9878,                0.79282,                 0.8012,                0.36571,                0.92356,             0.00037553,             0.00037553,             0.00037553
                     76,                0.77791,                0.43986,                0.92035,                0.98206,                0.98819,                0.98781,                0.79155,                0.82481,                0.37991,                0.93197,             0.00037262,             0.00037262,             0.00037262
                     77,                0.78896,                0.44778,                0.92876,                0.97725,                0.99301,                0.98422,                0.76079,                0.89974,                  0.394,                0.94184,             0.00036971,             0.00036971,             0.00036971
                     78,                0.77203,                  0.434,                0.92337,                0.98368,                0.98971,                0.98864,                0.78246,                 0.8425,                 0.3806,                0.93832,             0.00036679,             0.00036679,             0.00036679
                     79,                0.79165,                0.44258,                 0.9274,                0.98477,                0.98563,                0.98772,                0.79584,                 0.8052,                0.37037,                0.92476,             0.00036388,             0.00036388,             0.00036388
                     80,                0.78369,                0.43905,                0.92133,                0.97805,                 0.9882,                0.98883,                0.78471,                0.82784,                0.36959,                0.93022,             0.00036097,             0.00036097,             0.00036097
                     81,                0.76488,                0.43496,                0.92489,                0.98407,                0.98666,                0.98872,                0.79485,                0.80001,                0.36079,                0.92586,             0.00035806,             0.00035806,             0.00035806
                     82,                0.76214,                 0.4285,                0.91586,                0.98158,                0.99122,                0.98689,                0.77439,                0.87506,                0.36682,                0.93419,             0.00035515,             0.00035515,             0.00035515
                     83,                0.74815,                0.42476,                  0.909,                0.97891,                0.98494,                0.98807,                0.79304,                0.82091,                0.36844,                0.93068,             0.00035224,             0.00035224,             0.00035224
                     84,                0.75843,                0.42153,                0.91526,                0.98303,                0.98753,                0.98767,                0.80042,                0.80145,                0.36804,                 0.9323,             0.00034933,             0.00034933,             0.00034933
                     85,                0.75383,                0.42126,                0.91378,                0.97922,                0.99292,                0.98783,                0.80394,                  0.801,                0.35943,                0.93176,             0.00034642,             0.00034642,             0.00034642
                     86,                0.76749,                0.43136,                0.92184,                0.98108,                0.99136,                0.98923,                0.80136,                0.78991,                0.35376,                0.91897,             0.00034351,             0.00034351,             0.00034351
                     87,                0.75716,                0.43066,                0.91472,                0.97921,                0.99179,                 0.9899,                0.80015,                0.78436,                0.36078,                0.92748,              0.0003406,              0.0003406,              0.0003406
                     88,                0.75601,                0.41738,                0.91576,                0.98314,                0.99214,                 0.9871,                0.79082,                0.81024,                0.35711,                 0.9262,             0.00033769,             0.00033769,             0.00033769
                     89,                0.75032,                0.41709,                0.91544,                0.97716,                0.99003,                0.98722,                0.80019,                0.80205,                0.35882,                0.93457,             0.00033478,             0.00033478,             0.00033478
                     90,                0.74517,                0.41149,                0.91275,                0.97668,                0.98266,                0.98768,                0.78777,                0.83966,                 0.3616,                0.94505,             0.00033187,             0.00033187,             0.00033187
                     91,                0.73457,                0.40595,                0.90769,                0.97474,                0.98934,                0.99013,                0.80496,                0.78897,                0.35521,                 0.9311,             0.00032896,             0.00032896,             0.00032896
                     92,                0.76055,                  0.419,                0.92433,                0.98413,                0.97933,                 0.9874,                0.79131,                0.79232,                0.35912,                0.91997,             0.00032605,             0.00032605,             0.00032605
                     93,                0.75551,                0.41382,                0.92331,                0.97206,                0.99179,                0.98768,                 0.7955,                0.78612,                 0.3543,                0.92063,             0.00032314,             0.00032314,             0.00032314
                     94,                0.73747,                0.40985,                0.90687,                0.97519,                0.98547,                 0.9853,                0.79819,                0.78875,                 0.3522,                 0.9239,             0.00032022,             0.00032022,             0.00032022
                     95,                0.74566,                0.41193,                 0.9123,                0.97877,                0.98938,                0.98754,                0.79312,                0.80338,                0.36028,                0.91605,             0.00031731,             0.00031731,             0.00031731
                     96,                0.75181,                0.41074,                0.91703,                 0.9773,                0.99132,                0.98649,                0.79506,                 0.8082,                0.35302,                0.93366,              0.0003144,              0.0003144,              0.0003144
                     97,                0.73885,                0.40923,                0.90994,                0.97655,                0.98746,                0.98674,                0.80153,                0.77743,                0.35018,                0.91329,             0.00031149,             0.00031149,             0.00031149
                     98,                0.73554,                0.40758,                0.91011,                0.98282,                0.99301,                0.98851,                0.79226,                0.80582,                0.34333,                 0.9208,             0.00030858,             0.00030858,             0.00030858
                     99,                0.76492,                0.41575,                0.91654,                0.98232,                0.98945,                0.98545,                  0.793,                0.80947,                0.35074,                0.93105,             0.00030567,             0.00030567,             0.00030567
                    100,                0.72924,                0.40216,                0.90625,                0.98278,                0.98896,                0.98807,                0.79193,                0.81596,                0.34712,                 0.9346,             0.00030276,             0.00030276,             0.00030276
